GENERIC,INDICATION,"CLASSIFICATION,FORM, STRENGTH",ADE,DRUGINTERACTION,"PRECAUTION, CONTRAINDICATION, PREGNANCY CATEGORY","DOSAGE REGIMEN, FOOD INTAKE"
CEFAMANDOLE,"Intra-abdominal, lower resp tract, O & G, GUT, bone & joint, skin & soft tissue, endocarditis, septicemia & mixed infections due to susceptible organisms. Infections caused by bacteria resistant to cephalosporins, aminoglycosides &/or penicillins. Can be used as empiric therapy or prophylaxis in the prevention of certain post-op infections in patients undergoing (potentially or) contaminated surgical procedures. ",J01DH51 - imipenem and enzyme inhibitor ; Belongs to the class of carbapenems. Used in the systemic treatment of infections.,"Thrombophlebitis, pain, induration, erythema & tenderness following inj. Rash, urticaria, pruritus, erythema multiforme, Stevens-Johnson syndrome, angioedema, GI disturbances, nausea/vomiting, diarrhea, staining of teeth/tongue, pseudomembranous colitis, hematological disturbances, increase in liver enzymes, taste perversion. Myoclonic activity, seizures, psychic disturbances, confusional states. Hearing loss, taste perversion. ","Ganciclovir, valproic acid/divalproex Na, diluents containing lactate.","PRECAUTION
Dosage adjustment in patients w/ renal insufficiency. Patients on hemodialysis. Partial cross allergenicity w/ other _-lactam antibiotics, penicillins & cephalosporins. History of GI disease, particularly colitis. Caution in patients w/ CNS disorders &/or compromised renal function in whom accumulation of drug could occur. If CNS symptoms occur, dosage of Tienam should be decreased or discontinued. Concomitant use w/ valproic acid/divalproex Na is generally not recommended. Pregnancy & lactation. 
CONTRAINDICATION
Hypersensitivity. Childn <3 mth or ped patients w/ impaired renal function. Treatment of meningitis.
PREGNANCY CATEGORY
C- Either studies in animals have revealed adverse effects on the foetus (teratogenic or embryocidal or other) and there are no controlled studies in women or studies in women and animals are not available. Drugs should be given only if the potential benefit justifies the potential risk to the foetus.
","DOSAGE REGIMEN
IV infusion Therapy Adult & childn _40 kg Initially 1-2 g, total daily dose can be increased to 3 or 4 g (severe &/or life-threatening infections) given in 3-4 divided doses. Max: 50 mg/kg body wt/day not to exceed 4 g daily. Infusion rate: Each dose of imipenem & cilastatin Na _500 mg should be infused over 20-30 min; >500 mg should be infused over 40-60 min. Prophylaxis for postsurgical infection1 g on induction of anesth & 1 g 3 hr later. For high-risk surgery (eg, colorectal) 2 additional 500 mg doses may be given at 8 & 16 hr after induction. Renal insufficiency Lower doses required not to exceed 2 g daily. CrCl _5 mL/min/1.73 m2 Institute hemodialysis w/in 48 hr, administer at 12 hr intervals timed from the end of the hemodialysis session. Cystic fibrosis patient w/ normal renal function 90 mg/kg/day in divided doses, not exceeding 4 g/day. Childn & infant _3 mth 15 mg/kg body wt 6 hrly. Max: 2 g.
"
CEFMETAZOLE,For the treatment of infections caused by susceptible organisms.,"Cephalosporin
Injection-1G
Injection-2G","nausea, vomiting, epigastric distress, diarrhea, and convulsions.","With other b-lactam antibiotics, adverse effects following overdosage have included nausea, vomiting, epigastric distress, diarrhea, and convulsions.",null,null
CEFONICID,"Treatment of susceptible infections including chancroid, endocarditis, gastroenteritis, gonorrhea, Lyme disease, meningitis, septicemia, syphilis, typhoid fever & Whipple's disease.","J01DD04 - ceftriaxone ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-1G
","Hypersensitivity reactions eg skin rashes, urticaria, eosinophilia, fever, reaction resembling serum sickness, anaphylaxis.","Anticoagulants, alcohol.","PRECAUTION
Hypersensitivity to penicillins, history of allergies, renal impairment. Monitor renal & hematological status during prolonged & high-dose therapy. May interfere measurement of creatinine conc w/ Jaffe method. False +ve response for direct Coombs' test & glucose using copper-reduction reactions. 
CONTRAINDICATION
Hypersensitivity. Childn <3 mth or ped patients w/ impaired renal function. Treatment of meningitis.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","
DOSAGE REGIMEN
Adult 1-2 g daily as a single dose or in 2 divided doses. Severe infection Up to 4 g daily. Childn & infant 20-50 mg/kg body wt once daily. Severe infection Up to 80 mg/kg daily. Neonate Max: 50 mg/kg IV over 60 min. Uncomplicated gonorrhea Adult 250 mg IM. Surgical infection prophylaxis Adult 1 g as a single dose 0.5-2 hr pre-op; 2 g before colorectal surgery. Prevention of secondary cases of meningococcal meningitis Adult 250 mg as a single IM dose. Childn 125 mg as a single IM dose.  
FOOD INTAKE
May be taken with or without food.
"
CEFOTETAN,"Treatment of susceptible infections eg chancroid, endocarditis, gastroenteritis (invasive salmonellosis, shigellosis), gonorrhea, Lyme disease, meningitis, septicemia, syphilis, typhoid fever & Whipple's disease; surgical infection prophylaxis.","J01DD04 - ceftriaxone ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-1G
","Skin rashes, urticaria, eosinophilia, fever, serum sickness-like reactions & anaphylaxis.",Increase the effect of anticoagulants. Disulfiram-like reaction w/ alcohol.,"PRECAUTION
Hypersensitivity to penicillins & known histories of allergy. Renal impairment. May interfere w/ Jaffe's method in measuring creatinine conc, false +ve result in Coombs' test & urine glucose tests using copper reduction reaction. 
CONTRAINDICATION
Hypersensitivity to ceftriaxone or other cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Slow IV inj over 2-4 min or intermittent IV infusion over at least 30 min or deep IM inj (divided between different sites for doses >1 g). Adult 1-2 g daily as single or in 2 divided doses. Severe infections 4 g daily. Surgical infection prophylaxis 1 g as single dose administered 0.5-2 hr pre-op. Colorectal surgery 2 g pre-op. Prevention of secondary meningococcal meningitis 250 mg as single IM dose. Infant & childn 20-50 mg/kg body wt once daily. Severe infections Up to 80 mg/kg daily. Prevention of secondary meningococcal meningitis 125 mg as single IM dose. Neonate _50 mg/kg IV given over 60 min. 
"
CEFOXITIN,Principal treatment & prophylaxis of anaerobic & mixed bacterial infections especially intra-abdominal & pelvic infections.,"J01DC01 - cefoxitin ; Belongs to the class of second-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-1G
","Skin rashes, urticaria, eosinophilia, fever, serum sickness-like reactions, anaphylaxis. Neutropenia, thrombocytopenia. Acute interstitial nephritis, transient increase in liver enzyme. Pain at the inj site in IM use & thrombophlebitis in IV use.",Reduces renal clearance w/ probenecid.,"PRECAUTION
History of allergy. Renal impairment. Monitor renal & hematological status especially during prolonged & high-dose therapy. 
CONTRAINDICATION
Hypersensitivity to cefoxitin Na or to other cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Adult 1 or 2 g 8 hrly, may be given more frequently (4-6 hrly). Childn & infant 20-40 mg/kg 6-8 hrly;infant 1-4 wk 20-40 mg/kg 8 hrly; up to 1 wk 20-40 mg/kg 12 hrly. Severe infections Adult Max 12 g daily. Childn Max 200 mg/kg daily. Dose may be given by deep IM inj, slow IV inj over 3-5 min or intermittent or continuous IV infusion.   
FOOD INTAKE
May be taken with or without food.
"
CEFPROZIL,"treat certain infections caused by bacteria, such as bronchitis (infection of the airway tubes leading to the lungs); and infections of the skin, ears, sinuses, throat, and tonsils","Cephalosporin
Tablet-500mg
Table-200mg","Nausea, diarrhea, vomiting, stomach pain and dizziness.",,"PRECAUTION
GI disease especially colitis, and other kidney diseases. Pregnant women and breastfeeding moms and those with phenylketonuria. 
PREGNANCY CATEGORY
B","It is usually taken with or without food every 12 or 24 hours for 10 days. Take cefprozil at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take cefprozil exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor."
CEFUROXIME,"Treatment of susceptible infections which include bone & joint infections, bronchitis & other lower resp tract infections, gonorrhea, meningitis, otitis media, peritonitis, pharyngitis, sinusitis, skin infections (including soft tissue infections) & UTI. 2-Gen 750 Prophylaxis for surgical infection.","J01DC02 - cefuroxime ; Belongs to the class of second-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-750MG
POWDER FOR ORAL SUSP-125MG/5ML
POWDER FOR ORAL SUSP-250MG/5ML","Diarrhea & nausea. 2-Gen Vomiting. Mild to moderate hearing loss. 2-Gen 750 Transient pain at IM inj site; skin rashes (maculopapular & urticaria), drug fever; pseudomembranous colitis; decreased Hb conc &/or eosinophilia, leukopenia & neutropenia; transient rise in SGOT, SGPT & bilirubin.",2-Gen Reduced renal clearance w/ probenecid. 2-Gen 750 Renal function is adversely affected by furosemide & aminoglycosides.,"PRECAUTION
Cross-sensitivity w/ _-lactam antibiotics. Discontinue use if an allergic reaction occurs. Consider diagnosis of pseudomembranous colitis in patients w/ diarrhea. Overgrowth of clostridia. Evaluate renal status during treatment. Concomitant use w/ diuretics. Marked to severe renal impairment. Avoid prolonged use. Pregnancy & lactation. Childn <3 mth. 
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Oral susp Otitis media Childn >2 yr 250 mg or 15 mg/kg bid. Max: 500 mg daily. Childn >3 mth 125 mg or 10 mg/kg bid. Max: 250 mg daily. IV/IM Adult 750 mg tid, may be increased to 1.5 g tid IV in severe infections. Administration may be increased to 6 hrly, if necessary. Total dose: 3-6 g daily. Infant & childn 30-60 mg/kg/day, may be increased to 100 mg/kg daily in 3-4 divided doses.   
FOOD INTAKE
May be taken with or without food.
"
CEFDINIR,"Treatment of resp, skin, soft tissue & ENT infections caused by H. influenzae, H. parainfluenzae, Strep pyogenes & Staph aureus (including _-lactamase-producing strains); Strep pneumoniae (penicillin-susceptible strains) & Moraxella catarrhalis. ","J01DD15 - cefdinir ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR ORAL SUSP-120MG/5M
","Diarrhea, nausea, vag infection & rash.",Renal excretion may be inhibited w/ probenecid.,"PRECAUTION
Colitis. Discontinue use if diarrhea or superinfection occurs. Pregnancy. 
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Childn 6 mth-12 yr Individualized dosage based on body wt. Max: 600 mg daily. Middle ear, throat & tonsil infections 7 mg/kg 12 hrly for 5-10 days or 14 mg/kg once daily for 10 days. Sinus infections 7 mg/kg 12 hrly or 14 mg/kg once daily for 10 days. Skin infections 7 mg/kg 12 hrly for 10 days.    
FOOD INTAKE
May be taken with or without food.
"
CEFIXIME,"Treatment of susceptible infections including gonorrhea, otitis media, pharyngitis, lower resp tract (eg bronchitis) & UTI.","J01DD08 - cefixime ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
CAPSULE-200MG
","Diarrhea, stool changes; nausea, abdominal pain, dyspepsia, vomiting, flatulence. Pseudomembranous colitis. Headache, dizziness; rash, pruritus, urticaria, drug fever, arthralgia. Thrombocytopenia, leukopenia & eosinophilia.",,"PRECAUTION
Renal impairment. History of GI disease particularly colitis. 
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Adult 200-400 mg/day. Childn 8 mg/kg daily. To be administered as a single dose or in 2 divided doses.    
FOOD INTAKE
May be taken with or without food.
"
CEFOTAXIME,"Treatment of severe infections (eg sepsis, meningitis) due to susceptible bacteria.","J01DD01 - cefotaxime ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-1G
",Pseudomembranous colitis associated w/ Clostridium difficile infection,Reduced renal clearance w/ probenecid.,"PRECAUTION
Hypersensitivity to penicillin, pregnancy. 
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Adult & childn >12 yr 1 g 12 hrly. Moderate-severe infections 1-2 g IV 6-8 hrly. Severe & life-threatening infections 2 g IV 4 hrly. Max daily dose: 12 g. Prevention of post-op infection 1 g IM or IV 30-90 min, before surgery. Cesarean surgery 1 g IV immediately after the umbilical cord is clamped & then followed by 1 g IM or IV 6-12 hr after the 1st dose. Gonorrhea 1 g IM as a single dose. Uncomplicated infections 2 g ( 1 g 12 hrly, IM or IV) or 1 g Cladex as a single dose given IM. Moderate-severe infections 3-6 g (1-2 g 8 hrly IM or IV). Infections requiring higher dose of antibiotic 6-8 g (2 g 6-8 hrly IV). Life-threatening infection Up to 12 g (2 g 4 hrly IV). Childn 100-150 mg/kg body wt (50 mg/kg for neonates) daily in divided doses at 6-12 hr intervals.    
FOOD INTAKE
May be taken with or without food.
"
CEFPIMIZOLE,"treat certain infections caused by bacteria, such as bronchitis (infection of the airway tubes leading to the lungs); and infections of the skin, ears, sinuses, throat, and tonsils","Cephalosporin
Tablet-500mg
Table-200mg","Nausea, diarrhea, vomiting, stomach pain and dizziness.",,"PRECAUTION
GI disease especially colitis, and other kidney diseases. Pregnant women and breastfeeding moms and those with phenylketonuria. 
PREGNANCY CATEGORY
B","It is usually taken with or without food every 12 or 24 hours for 10 days. Take cefprozil at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take cefprozil exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor."
CEFODOXIME,"Treatment of susceptible infection of the upper & lower resp tract, skin & soft tissues. Uncomplicated UTI & gonorrhea.","J01DD13 - cefpodoxime ; Belongs to the class of third-generation cephalosporins. Used in the systemic treatment of infections.
FC TAB
200 MG
","Diarrhea, nausea, vomiting, abdominal pains; headache, dizziness, tinnitus, paresthesia, asthenia; cutaneous eruptions, pruritus, urticaria, purpura & bullous eruptions; anaphylactic reactions eg angioedema, bronchospasm, malaise; reduced Hb, thrombocytosis, thrombocytopenia, leukopenia, eosinophilia; elevated AST, ALT, alkaline phosphatase, blood urea & creatinine.",,"PRECAUTION
Hypersensitivity to penicillins & other _-lactams. Prolonged use. Discontinue use if symptoms of pseudomembranous colitis occur. Renal impairment. May produce +ve response to Coombs' test. Childn <1 yr. 
CONTRAINDICATION
Hypersensitivity to cephalosporins.Pregnancy and lactation.
PREGNANCY CATEGORY
B- Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).
","DOSAGE REGIMEN
Adult Tonsillitis, pharyngitis & acute bronchitis 200 mg 12 hrly, 200 mg daily. _-hemolytic streptococcal infections Administer for at least 10 days. Acute sinusitis & exacerbations of chronic bronchitis, pneumonia 200 mg daily.    
FOOD INTAKE
May be taken with or without food.
"
Clindamycin,Treatment of serious anaerobic infections due toÿBacteroides fragilisÿ& some Staph & Strep infections.,"Lincosamides
capsule - 75mg, 150mg, 300mg
injectable solution- 150mg/mL
oral solution - 75mg/5mL
intravenous solution
300 mg/50mL (5% dextrose)
600 mg/50mL (5% dextrose)
900 mg/50mL (5% dextrose)
","Diarrhea, severe antibiotic-induced pseudomembranous colitis. Hypersensitivity reactions, skin rash, urticaria. Transient leukopenia, agranulocytosis, eosinophilia, thrombocytopenia, erythema multiforme, exfoliative & vestibullous dermatitis, polyarthritis & abnormal liver function tests.","Neuromuscular blockers, parasympathomimetics.","Precaution 
GI disease, history of colitis. Atopic patients. Hepatic or renal impairment. Periodic tests of liver, kidney & blood count for prolonged therapy & in infants.
Contraindication
Hypersensitivity to lincomycin.
Pregnancy Category B: Either animal-reproduction studies have not demonstrated a foetal risk but there are no controlled studies in pregnant women or animal-reproduction studies have shown an adverse effect (other than a decrease in fertility) that was not confirmed in controlled studies in women in the 1sttrimester (and there is no evidence of a risk in later trimesters).","Dosage Regimen 
Adultÿ150-300 mg 6 hrly.ÿSevere infectionsÿUp to 450 mg 6 hrly.ÿChildnÿ3-6 mg/kg 6 hrly;ÿ10 kgÿAt least 37.5 mg 8 hrly.ÿProphylaxis in patients at risk of endocarditis & cannot take penicillinÿ600 mg 1 hr before procedures eg dental extractions w/ or w/o local anesth.
Food Intake
May be taken with or without food: Swallow whole w/ a full glass of water & in an upright position."
Lincomycin,"Treatment of infections caused by susceptible strains of gram +ve aerobes eg, strep, pneumococci & staph or by susceptible anaerobic bacteria. Upper resp infections including tonsillitis, pharyngitis, otitis media, sinusitis, scarlet fever & as adjuvant therapy for diphtheria. Treatment of mastoiditis would be anticipated. Lower resp infections including acute & chronic bronchitis & pneumonia. Skin & soft tissue infections including cellulitis, furuncles, abscesses, impetigo, acne & wound infections. Conditions eg, erysipelas, lymphadenitis, paronychia (panaritium), mastitis & cutaneous gangrene, should if caused by susceptible organisms, respond to lincomycin therapy. Bone & joint infections including osteomyelitis & septic arthritis. Septicemia & endocarditis; bacillary dysentery.ÿ","Lincosamides
injectable solution - 300mg/mL
","GI (diarrhea, nausea, vomiting, esophagitis, abdominal discomfort), infections & infestations (vaginal infection, pseudomembranous colitis,ÿClostridium difficileÿcolitis), blood & lymphatic system disorders (pancytopenia, aplastic anemia neutropenia, leukopenia, agranulocytosis, thrombocytopenic purpura), immune system disorders (anaphylactic reaction angioedema, serum sickness), cardiac disorders (cardioresp arrest), vascular disorders (hypotension, thrombophlebitis), skin & subcutaneous tissue disorders (rash, pruritus, urticaria, Stevens-Johnson syndrome, dermatitis bullous, dermatitis exfoliative, erythema multiforme), hepatobiliary disorders (jaundice, abnormal liver function test), general disorders & administration site conditions (inj site abscess, induration, pain & irritation).ÿ",Antagonism w/ erythromycinÿin vitro. May enhance the action of other neuromuscular blockers.,"Precaution
May be associated w/ severe colitis (fatal). If diarrhea occurs, discontinue use or if necessary continue only w/ close observation. Contains benzyl alcohol; associated w/ gasping syndrome in ped patients. Not to be used in the treatment of meningitis.
Contraindication  
Hypersensitivity to lincomycin or clindamycin. 
Pregnancy Category: C Either studies in animals have revealed adverse effects on the fetus (teratogenic or embryocidal or other) and there are no controlled studies in women or studies in women and animals are not available. Drugs should be given only if the potential benefit justifies the potential risk to the fetus.
","Dosage Regimen
Adult Infection due to susceptible organism 500 mg tid every 8 hr. More severe infection 500 mg qid every 6 hr. Nothing to be given by mouth for 1-2 hr before or after PO. 
Food Intake 
Should be taken on an empty stomach: Take w/ a full glass of water 1 hr before or 2 hr after meals."
